,3,153
1806,0,4,128
1808,0,3,115
1809,0,3,106
1811,0,3,98
1812,1,5,96
1814,2,3,89
1815,0,6,87
1817,0,4,82
1819,0,3,77
1820,0,0,83
1822,0,2,84
1823,0,4,92
1825,0,4,96
1826,0,5,105
1828,0,4,111
1829,0,1,125
1831,0,4,135
1833,0,3,143
1835,0,3,153
1837,1,5,165
1838,0,4,172
1840,0,3,178
1842,0,2,184
1843,0,3,183
1845,0,3,182
1846,0,3,173
1848,0,2,171
1850,0,2,165
1851,0,2,153
1853,0,3,147
1854,0,3,140
1856,0,4,126
1858,2,1,119
1859,0,4,108
1861,0,3,97
1862,0,3,94
1864,0,4,88
1865,0,7,86
1867,0,4,84
1869,0,4,81
1870,0,6,83
1872,2,3,88
1873,2,4,88
1875,0,3,98
1876,0,5,105
1879,0,5,115
1880,0,6,123
1882,0,5,134
1884,0,4,144
1885,0,2,156
1887,0,2,165
1888,0,4,173
1890,0,3,176
1892,0,3,184
1893,0,6,181
1895,0,1,183
1896,0,4,181
1898,0,6,172
1900,0,4,167
1901,0,6,156
1903,0,3,146
1904,0,5,135
1906,0,3,125
1908,0,4,117
1909,0,4,108
1911,0,6,98
1912,0,4,94
1914,0,6,86
1915,0,6,83
1917,0,5,83
1920,2,4,82
1921,0,1,86
1923,0,3,89
1924,1,3,91
1926,0,4,96
1927,0,1,108
1929,0,5,116
1930,0,3,125
1932,0,6,136
1934,0,2,150
1935,0,4,160
1937,1,1,166
1938,1,1,171
1940,1,2,179
1942,0,3,180
1943,0,5,185
1945,0,4,185
1946,0,6,177
1948,0,3,172
1950,0,3,167
1951,1,4,154
1953,0,5,145
1954,0,2,132
1956,0,4,125
1958,0,4,115
1959,0,4,106
1961,0,4,97
1963,2,4,89
1965,1,3,86
1966,0,4,83
1968,-3,5,86
1970,1,3,82
1971,1,5,83
1973,1,4,88
1974,0,3,93
1976,0,4,97
1977,0,2,108
1979,1,2,117
1980,0,6,127
1982,0,6,138
1984,0,4,148
1985,0,3,157
1987,0,1,166
1988,0,1,171
1990,0,3,179
1992,0,3,184
1993,0,2,183
1995,-2,4,183
1996,0,2,179
1998,0,1,172
2000,1,3,164
2001,0,5,155
2003,1,1,143
2004,0,4,131
2007,0,1,123
2009,0,4,112
2010,-3,6,104
2012,2,0,99
2013,1,2,91
2015,1,3,88
2016,0,4,81
2018,1,3,80
